#{"t_start": 1680811236.1065798, "env_id": null}
r,l,t
51845.0,6080,4586.010838
53329.0,4311,4590.037159
47275.0,4551,4594.312772
44814.0,2743,4598.141789
44975.0,3278,4603.774287
49144.5,3764,4607.203733
49611.0,5435,4612.433941
55684.5,5507,4617.642559
53799.5,5534,4623.00282
49352.0,4412,4634.854001
45040.0,3594,4638.290034
42763.0,2662,4640.481124
38733.0,2657,4642.975043
47000.0,3439,4645.908962
44864.5,3042,4649.933695
53537.0,5081,4657.139371
49399.0,4453,4661.431478
53692.5,5466,4666.450364
51315.0,4212,4670.305859
48919.5,3110,4673.383706
47381.0,4627,4679.70563
51306.5,4325,4684.904505
51224.0,3820,4688.56896
51315.0,4332,4692.794464
49236.0,3901,4696.630681
51114.5,3639,4700.163731
42915.5,3360,4704.094538
53239.0,4064,4709.928008
40610.0,2429,4712.021057
47021.5,3372,4714.780705
47062.0,3494,4718.007266
53142.5,3772,4721.572866
44991.5,3291,4726.516488
49291.0,4191,4733.040876
55592.0,5149,4738.062689
55449.0,4495,4742.440728
46923.5,3083,4745.34696
49171.0,3907,4749.017681
45185.5,3954,4753.682069
47015.5,3414,4758.377129
42898.5,3058,4761.235575
49085.5,3528,4764.345998
42891.5,3150,4767.213971
46897.0,2923,4769.914615
55398.0,4282,4775.888677
53735.5,5411,4781.596591
51581.5,5110,4786.331653
51743.0,5388,4791.122098
49149.5,3691,4794.227146
49100.0,3754,4797.740252
47055.0,3369,4802.509032
44863.0,3136,4807.799985
47132.0,3783,4811.366699
47222.5,4023,4815.283792
51703.0,5532,4820.357259
42796.0,2830,4822.923564
49280.5,4133,4828.529771
47109.5,3823,4833.100502
44824.5,2841,4835.666627
47176.5,4041,4839.38795
49222.5,3914,4843.237659
46839.0,2854,4845.908928
55969.5,5890,4858.996814
47153.5,3866,4862.264761
47024.5,3277,4864.973703
49153.0,3687,4868.46354
47043.0,3394,4871.709617
42848.0,2997,4875.605824
60223.5,6561,4884.611029
51349.5,4210,4888.545549
49122.5,3735,4892.013963
53811.0,5796,4897.315866
52029.5,6429,4903.301952
47094.5,3438,4908.700486
51191.0,3674,4914.140949
51157.5,3536,4917.559602
47103.0,3449,4920.937107
46939.5,3406,4924.115635
46970.5,3251,4927.07894
51087.5,3591,4931.477943
49092.0,3673,4936.863652
44904.0,3092,4939.918223
45022.5,3298,4943.10017
47297.5,4413,4947.265583
49363.5,4483,4951.535858
45167.5,3770,4956.847087
42986.5,3596,4961.511195
49367.0,4371,4965.704849
47234.0,4263,4969.625579
51122.5,3749,4973.293767
49215.0,3836,4976.86574
49392.5,4606,4983.784988
48938.5,2973,4986.958119
51671.0,5212,4991.736844
49382.0,4361,4995.797975
45079.5,3478,4999.143773
51396.0,4388,5003.009158
53519.5,4752,5009.228184
49361.0,4499,5013.519948
51095.0,3346,5016.327789
51254.5,4370,5020.029689
57175.5,3589,5023.22079
51546.0,4876,5027.807608
49024.5,3492,5032.951889
51471.5,4806,5039.791018
51457.5,4855,5044.31019
44797.5,2744,5046.993614
53309.0,4075,5050.608884
48915.0,2897,5053.341613
47308.5,4291,5063.45472
51156.5,3782,5067.127965
49488.5,4884,5071.769488
47174.5,3904,5075.528669
51134.5,3816,5078.914992
40647.0,2488,5082.344911
47025.0,3319,5089.560158
47154.0,3912,5092.877918
44935.0,2995,5095.637728
56112.5,6539,5101.957803
45042.0,3647,5105.515716
53557.0,4944,5112.22794
47175.5,3854,5115.913868
51708.0,5314,5120.769763
48982.5,3233,5123.65592
53600.5,4961,5128.321368
49115.5,3611,5131.253986
47182.0,3825,5136.796862
55987.0,6194,5144.659633
51497.5,4716,5149.229353
40637.0,2423,5151.546389
44954.5,3212,5154.320027
45015.5,3407,5157.541024
46837.0,2814,5161.231006
49464.5,4682,5167.90505
49388.5,4556,5172.388195
49403.5,4411,5176.412039
51714.5,5719,5181.677921
49306.0,4012,5185.232162
46965.5,3128,5189.952986
44859.0,2820,5194.549218
47016.0,3550,5197.844878
53928.0,5866,5203.262207
47208.0,3941,5206.940021
49199.5,3996,5210.481498
47169.0,3821,5216.160177
47375.5,4519,5222.159488
49192.0,3969,5225.703826
49178.0,3596,5229.02694
42781.5,2721,5231.418671
44891.5,3042,5234.073678
46955.0,3149,5238.23395
49306.0,4289,5244.732854
45040.5,3519,5247.645641
49404.5,4774,5252.298994
47041.5,3507,5255.765964
49010.5,3295,5258.776997
46985.0,3336,5264.027761
51326.5,3951,5270.139396
47066.5,3461,5273.315088
44988.0,3509,5276.558432
45040.5,3621,5280.090101
51729.5,5429,5285.00795
