#{"t_start": 1680811236.1065798, "env_id": null}
r,l,t
34972.5,4602,1026.811631
34599.0,2507,1029.171605
32875.5,4139,1034.826789
37038.5,4759,1040.356045
34797.5,3552,1043.87867
37109.5,4960,1048.266823
37175.0,4722,1052.890344
37198.5,5150,1057.915955
34648.5,2686,1067.187449
32611.5,2872,1069.826059
34913.0,4146,1073.341615
32635.5,3002,1076.241159
37005.0,4501,1080.4608
37192.5,4954,1087.771257
36918.0,4069,1091.362531
39134.5,4985,1096.128783
36901.5,3990,1099.652594
41242.5,5117,1104.392571
32825.5,3629,1107.862739
37144.5,4754,1118.893702
39129.5,4776,1123.43664
39459.0,5936,1128.852543
36981.0,4230,1132.574922
38892.0,3979,1136.18773
36741.5,3347,1141.398537
37015.0,4290,1147.446325
36697.5,3032,1149.965505
43611.5,6102,1155.781451
38840.5,3670,1159.480613
38718.0,3050,1162.49108
36934.5,4016,1168.252457
34794.5,3299,1171.838405
41038.5,4218,1175.48959
41200.5,4958,1180.127792
41263.0,5183,1184.812483
41087.0,4635,1189.319292
38868.0,3653,1194.76719
43595.5,6747,1203.162645
40750.5,2993,1205.640902
41048.5,3999,1209.32118
39052.0,4588,1213.672399
36641.5,2752,1216.35664
43149.0,4669,1222.871163
38780.0,3413,1226.130292
43337.5,5446,1231.270514
40934.5,3871,1235.062566
36727.0,3403,1238.38086
47816.0,6856,1244.154379
39145.5,4599,1255.732489
41285.0,5456,1261.110866
47257.5,4946,1265.531265
36804.0,3447,1268.828113
36687.5,2834,1271.545958
38774.5,3154,1275.540245
36890.5,3948,1281.631818
38904.5,3592,1285.028914
41011.5,3963,1288.372384
38780.0,3154,1291.180892
41144.0,4438,1295.390478
38999.0,4202,1300.930789
38667.5,2585,1304.187195
36870.0,3619,1307.574427
45602.0,6439,1313.452509
34734.0,3257,1316.479693
36648.5,2961,1319.206772
43082.5,4008,1330.099942
39020.5,4113,1334.005741
42983.5,3670,1337.110663
41370.5,5589,1342.039122
38771.5,2976,1344.900875
36860.5,3761,1350.001205
43647.5,6272,1356.865685
45247.0,4668,1361.396882
40713.5,2634,1364.073479
42951.0,3321,1367.12554
41188.0,4431,1371.427418
42930.0,3436,1376.71479
40965.5,3721,1382.524904
40886.5,3391,1385.501522
40924.0,3365,1388.672378
45566.0,5890,1393.890457
45091.5,4274,1397.711491
42888.5,3665,1403.064149
43057.5,3746,1407.711825
42889.0,3195,1410.862765
40943.0,3712,1414.43363
43015.5,3705,1417.563256
42932.5,3451,1420.593525
34653.5,2876,1425.329433
43208.0,4561,1432.038401
39088.0,4375,1436.273753
38871.0,3311,1439.438497
40811.0,3272,1442.491853
45321.5,4575,1446.886547
42873.5,3126,1450.754392
45423.0,5194,1458.058109
45390.0,5050,1462.478478
40906.5,3685,1465.979861
44881.5,3402,1469.310518
43102.0,4096,1473.057129
47411.5,4902,1479.614494
43048.5,3715,1483.919239
45073.0,3879,1487.586815
42908.5,3290,1490.521699
45282.0,4653,1494.625544
43172.5,4350,1498.785806
51806.5,6237,1511.468822
45334.5,5070,1516.215009
47769.0,6239,1522.065746
43164.0,4193,1525.945511
43198.5,4482,1529.918882
43028.0,3871,1535.371532
47372.5,4861,1541.165797
40917.5,3564,1544.335605
40804.5,3070,1547.157057
45286.0,4561,1551.358939
53988.5,6638,1557.75568
41012.0,3962,1563.554914
42769.0,2929,1568.065686
47406.0,4868,1572.355236
36668.5,2803,1574.716863
45283.5,4691,1578.932646
40690.5,2603,1581.4233
47198.5,4371,1587.336602
45091.5,4150,1591.819803
42957.0,3535,1594.954803
43017.5,3656,1598.254849
45086.0,3905,1602.065844
47190.5,4339,1606.032867
51229.0,4154,1611.667378
41003.0,3812,1616.860069
42981.0,3522,1620.077713
51747.0,5848,1625.507077
45208.5,4466,1629.670736
43097.0,4353,1633.57857
47960.5,7200,1646.19888
38827.5,3087,1648.948728
47684.0,6271,1654.82023
43205.5,4880,1659.222542
47058.5,3771,1662.895405
43251.5,4620,1669.17862
40820.5,3409,1673.611001
42821.5,3232,1676.513018
45053.5,3953,1680.263857
43090.0,4190,1684.100824
38669.5,2579,1686.544092
45127.0,4064,1692.327018
47245.5,4513,1697.030913
47301.0,4543,1701.230765
47416.5,5076,1705.871811
40813.0,3078,1708.886554
45302.5,5003,1713.850744
45099.0,4081,1719.623687
47481.5,5354,1725.879525
51556.0,5147,1730.715976
42924.0,3493,1733.756956
40986.0,3807,1737.411269
36862.5,3915,1741.291385
45303.0,4897,1747.982744
45412.5,5254,1752.695979
47187.5,4297,1756.746809
47604.0,5785,1761.703682
40916.0,3377,1764.917684
43007.5,3732,1768.196051
47185.0,4323,1774.356261
49251.5,4171,1778.969222
45209.5,4283,1782.779633
42987.0,3977,1786.690765
38888.5,3323,1789.820754
36687.0,2886,1792.542675
40802.0,3104,1797.201228
41018.0,3773,1803.458141
47204.0,4279,1807.556069
41441.5,5613,1813.012918
40747.0,2865,1815.817081
49879.0,6523,1821.889581
40966.5,3523,1826.89415
44974.5,3520,1831.475767
47605.5,5676,1836.69363
47380.0,4828,1840.911293
43064.5,3878,1844.522722
49682.5,5831,1850.001671
40886.5,3466,1855.206003
49319.5,4678,1861.71456
49484.5,5428,1866.380972
47199.5,4247,1870.534612
45167.0,4464,1874.819163
43012.5,3685,1878.226885
43302.5,4649,1884.591245
45400.5,5518,1889.957054
43170.0,4574,1894.266177
45085.5,4029,1897.652788
47403.0,5327,1902.602558
45260.0,4570,1906.781937
45063.5,3899,1912.360676
47194.5,4429,1917.970706
45299.5,4926,1922.574032
41031.0,4118,1926.116715
49632.0,5820,1931.772646
54026.5,6819,1937.938835
40823.5,3325,1942.224984
43156.0,4375,1948.327005
45442.0,5155,1953.059154
40911.0,3519,1956.104965
43165.5,4308,1960.19265
49591.5,5885,1965.70308
47082.0,3974,1971.547764
38718.0,2920,1975.526336
47220.0,4277,1979.524534
51551.5,5188,1984.283657
53437.0,4913,1989.008026
55569.0,5600,1994.40415
38755.5,3124,1999.335653
47215.5,4210,2005.782564
47563.0,5593,2010.725329
43086.5,4060,2014.612071
47653.5,6079,2020.376159
47575.0,5511,2025.672609
49221.5,4337,2031.742882
45004.0,3607,2035.659294
43313.0,5228,2040.626256
40812.5,3324,2043.887818
42830.5,3095,2046.763771
45190.5,4393,2050.798984
49146.5,4207,2062.0729
45206.5,4293,2066.370147
47290.0,4514,2070.643934
41040.5,3999,2074.301145
43040.0,3969,2077.935479
44990.0,3610,2083.244235
40769.5,3000,2087.361215
51557.0,5286,2092.310123
44856.5,2885,2094.913599
47296.5,4569,2099.479792
43210.0,4733,2104.00934
47232.5,4329,2109.730129
47368.0,4969,2115.294797
40840.0,3300,2118.447356
51528.5,5134,2123.078335
45120.0,4005,2126.784741
53787.0,5818,2132.041046
45201.5,4381,2138.062781
45141.0,4234,2142.681125
47416.0,4966,2147.035902
51648.5,5638,2151.984717
43187.5,4369,2155.777984
47197.0,4118,2159.338967
45062.0,3921,2164.606153
38804.0,3168,2169.208725
44816.0,2886,2171.837624
43017.0,3754,2175.395015
43103.5,4145,2179.374238
40941.0,3825,2182.711181
43175.0,4156,2188.746312
40912.5,3525,2192.687261
40825.5,3068,2195.671705
44990.0,3412,2198.878099
45142.0,4089,2202.600024
40736.5,2663,2204.896652
49187.0,4018,2210.582681
38701.0,2630,2214.100077
47118.0,3662,2217.575288
40753.5,2823,2220.176788
44976.5,3279,2223.261282
45345.0,4747,2227.574904
42818.5,2936,2232.073906
49469.5,5071,2239.501384
43023.0,4084,2243.164756
40966.5,3700,2246.788913
47322.0,4513,2250.927742
45146.0,4171,2254.464213
43055.5,3973,2260.055983
44902.0,3038,2263.678665
49458.0,4887,2268.326828
47139.0,4038,2271.682867
47037.5,3516,2274.561997
49405.0,4513,2278.631667
44773.5,3077,2283.488121
51447.0,4668,2290.616423
51531.5,4959,2295.406799
43090.0,3859,2299.199071
44939.0,3434,2302.160974
49037.5,3509,2305.602743
49489.5,4992,2312.234603
43016.0,3814,2315.616956
43225.5,4276,2319.627937
51557.5,5661,2325.00313
45266.0,4597,2328.851946
45194.0,4384,2332.50809
45095.0,3864,2338.150746
43248.5,4603,2344.570914
51461.5,4731,2348.982029
47559.0,5613,2354.591797
49350.5,4433,2358.847922
47214.0,4223,2362.557323
55684.5,5942,2374.180887
49340.5,4551,2378.486876
44976.0,3277,2381.628341
52277.0,7712,2388.980706
42892.5,3381,2392.199229
42915.0,3356,2397.115996
49485.0,4963,2404.037977
47181.0,4410,2407.998087
40741.5,2655,2410.627101
44745.5,2630,2413.076486
44951.5,3475,2416.308248
45034.0,3659,2420.443763
47238.0,4350,2426.778589
49484.0,4799,2431.341316
49381.0,4638,2435.821941
49337.5,4442,2440.158287
49385.5,4704,2444.559344
49281.0,4228,2455.272728
47411.5,4679,2459.793169
42920.0,3448,2463.115202
43155.5,4129,2467.019171
44940.0,3216,2469.900027
51277.0,4164,2480.884211
47048.0,3739,2484.415718
49149.5,3835,2487.750033
44912.0,3109,2490.597824
47353.0,4593,2494.597902
49440.5,4628,2500.824965
49777.5,5963,2506.567081
38789.0,3171,2509.428982
53703.0,5317,2514.525302
40841.0,2953,2517.426938
51630.5,5315,2522.716815
40672.5,2405,2526.265924
45192.0,4114,2534.377888
51613.5,5376,2539.335424
44936.5,3488,2542.473053
53837.0,5970,2548.102073
42935.5,3297,2551.419124
45138.0,4013,2557.143349
47020.5,3410,2561.317983
49518.0,5530,2566.3788
51141.5,3831,2569.68286
45112.5,3974,2573.682053
49437.5,4534,2577.798928
47178.0,4239,2583.856845
47445.5,4795,2589.96059
45302.0,4742,2594.308838
45417.5,5285,2599.370115
45235.5,4458,2603.712932
47447.5,4908,2608.074839
47265.0,4172,2614.044304
51510.0,5019,2619.224415
42866.5,3104,2622.016089
42712.5,2560,2624.545959
44897.0,3018,2627.178837
46974.0,3383,2630.212958
49338.0,4660,2642.045123
36560.5,2144,2644.042921
49354.0,4830,2648.8029
49491.5,5019,2653.23203
45062.5,3718,2656.757007
45395.5,4781,2667.449889
47018.5,3863,2671.00308
51601.0,5305,2676.081806
45138.0,4073,2680.08789
51283.0,4361,2684.158013
40818.0,3002,2688.020251
47348.0,4671,2695.174263
51343.5,4502,2699.195048
49636.0,5428,2704.273519
47123.5,3644,2707.586407
51647.0,5376,2712.517862
45247.5,4568,2719.646273
40933.5,3364,2723.351928
47107.5,3786,2726.628397
55549.0,4738,2730.989992
42881.5,3237,2734.047354
45122.5,4024,2737.436447
42808.5,2909,2741.237967
51495.5,4977,2748.807764
47012.5,3284,2751.964037
54003.0,6539,2758.26756
49360.0,4571,2762.477418
44969.5,3325,2765.583354
42897.5,3261,2770.646835
45099.0,3826,2776.606945
44821.5,2858,2779.357951
53589.5,5128,2784.263191
51948.0,6518,2790.102926
45045.5,3728,2793.821967
47185.0,4191,2799.655037
45028.0,3651,2803.38177
44857.5,2935,2805.902982
47246.0,4339,2809.883157
51403.5,4806,2814.550252
47328.0,4478,2818.840021
49416.0,4535,2830.518843
49782.5,6120,2836.623181
47203.0,4197,2840.565986
45169.5,4306,2844.518569
47114.5,3814,2848.077555
51395.0,4765,2854.730189
47227.0,4398,2859.077902
47469.5,5123,2863.760428
43016.5,3968,2867.668469
51431.5,4851,2872.126662
47393.0,4869,2876.871146
47288.0,4398,2882.756029
55678.0,5560,2888.784344
47016.0,3840,2892.757068
55849.0,6126,2898.624898
53699.5,5683,2903.856064
49216.5,4185,2907.60919
47262.5,4553,2914.872971
42933.0,3155,2917.925691
51234.5,4120,2921.565221
47245.5,4250,2925.117214
46909.5,3203,2928.03846
42822.5,3077,2930.931406
46978.5,3326,2935.893615
38826.0,3049,2940.075367
49308.5,4629,2944.289205
51562.5,5394,2949.422909
